cycle_countBattery_health,SOH
57.86563393,99.65034128
57.86563393,99.54598351
57.86563393,99.44162575
57.86563393,99.33726799
57.86563393,99.23291023
57.86563393,99.12855246
57.86563393,99.0241947
57.86563393,98.91983694
57.86563393,98.81547917
57.86563393,98.71112141
57.86563393,98.60676365
57.86563393,98.50240589
57.86563393,98.39804812
57.86563393,98.29369036
57.86563393,98.1893326
57.86563393,98.08497483
57.86563393,97.98061707
57.86563393,97.87625931
57.86563393,97.77190155
57.86563393,97.66754378
57.86563393,97.56318602
57.86563393,97.45882826
57.86563393,97.35447049
57.86563393,97.25011273
57.86563393,97.14575497
62.03214073,99.96341457
62.03214073,99.8590568
62.03214073,99.75469904
62.03214073,99.65034128
62.03214073,99.54598351
62.03214073,99.44162575
62.03214073,99.33726799
62.03214073,99.23291023
62.03214073,99.12855246
62.03214073,99.0241947
62.03214073,98.91983694
62.03214073,98.81547917
62.03214073,98.71112141
62.03214073,98.60676365
62.03214073,98.50240589
62.03214073,98.39804812
62.03214073,98.29369036
62.03214073,98.1893326
62.03214073,98.08497483
62.03214073,97.98061707
62.03214073,97.87625931
62.03214073,97.77190155
62.03214073,97.66754378
62.03214073,97.56318602
62.03214073,97.45882826
62.03214073,97.35447049
62.03214073,97.25011273
62.03214073,97.14575497
62.03214073,97.04139721
66.19864752,99.96341457
66.19864752,99.8590568
66.19864752,99.75469904
66.19864752,99.65034128
66.19864752,99.54598351
66.19864752,99.44162575
66.19864752,99.33726799
66.19864752,99.23291023
66.19864752,99.12855246
66.19864752,99.0241947
66.19864752,98.91983694
66.19864752,98.81547917
66.19864752,98.71112141
66.19864752,98.60676365
66.19864752,98.50240589
66.19864752,98.39804812
66.19864752,98.29369036
66.19864752,98.1893326
66.19864752,98.08497483
66.19864752,97.98061707
66.19864752,97.87625931
66.19864752,97.77190155
66.19864752,97.66754378
66.19864752,97.56318602
66.19864752,97.45882826
66.19864752,97.35447049
66.19864752,97.25011273
66.19864752,97.14575497
66.19864752,97.04139721
66.19864752,96.93703944
70.36515432,99.96341457
70.36515432,99.75469904
70.36515432,99.65034128
70.36515432,99.54598351
70.36515432,99.44162575
70.36515432,99.33726799
70.36515432,99.23291023
70.36515432,99.12855246
70.36515432,99.0241947
70.36515432,98.91983694
70.36515432,98.81547917
70.36515432,98.71112141
70.36515432,98.60676365
70.36515432,98.50240589
70.36515432,98.39804812
70.36515432,98.29369036
70.36515432,98.1893326
70.36515432,98.08497483
70.36515432,97.98061707
70.36515432,97.87625931
70.36515432,97.77190155
70.36515432,97.66754378
70.36515432,97.56318602
70.36515432,97.45882826
70.36515432,97.35447049
70.36515432,97.25011273
70.36515432,97.14575497
70.36515432,97.04139721
70.36515432,96.93703944
74.53166111,99.96341457
74.53166111,99.65034128
74.53166111,99.54598351
74.53166111,99.44162575
74.53166111,99.33726799
74.53166111,99.23291023
74.53166111,99.12855246
74.53166111,99.0241947
74.53166111,98.91983694
74.53166111,98.81547917
74.53166111,98.71112141
74.53166111,98.60676365
74.53166111,98.50240589
74.53166111,98.39804812
74.53166111,98.29369036
74.53166111,98.1893326
74.53166111,98.08497483
74.53166111,97.98061707
74.53166111,97.87625931
74.53166111,97.77190155
74.53166111,97.66754378
74.53166111,97.56318602
74.53166111,97.45882826
74.53166111,97.35447049
74.53166111,97.25011273
74.53166111,97.14575497
74.53166111,97.04139721
78.69816791,99.96341457
78.69816791,99.65034128
78.69816791,99.54598351
78.69816791,99.44162575
78.69816791,99.33726799
78.69816791,99.23291023
78.69816791,99.12855246
78.69816791,99.0241947
78.69816791,98.91983694
78.69816791,98.81547917
78.69816791,98.71112141
78.69816791,98.60676365
78.69816791,98.50240589
78.69816791,98.39804812
78.69816791,98.29369036
78.69816791,98.1893326
78.69816791,98.08497483
78.69816791,97.98061707
78.69816791,97.87625931
78.69816791,97.77190155
78.69816791,97.66754378
78.69816791,97.56318602
78.69816791,97.45882826
78.69816791,97.35447049
78.69816791,97.25011273
78.69816791,97.14575497
82.8646747,99.96341457
82.8646747,99.65034128
82.8646747,99.54598351
82.8646747,99.44162575
82.8646747,99.33726799
82.8646747,99.23291023
82.8646747,99.12855246
82.8646747,99.0241947
82.8646747,98.91983694
82.8646747,98.81547917
82.8646747,98.71112141
82.8646747,98.60676365
82.8646747,98.50240589
82.8646747,98.39804812
82.8646747,98.29369036
82.8646747,98.1893326
82.8646747,98.08497483
82.8646747,97.98061707
82.8646747,97.87625931
82.8646747,97.77190155
82.8646747,97.66754378
82.8646747,97.56318602
82.8646747,97.45882826
82.8646747,97.35447049
82.8646747,97.25011273
87.0311815,99.96341457
87.0311815,99.65034128
87.0311815,99.54598351
87.0311815,99.44162575
87.0311815,99.33726799
87.0311815,99.23291023
87.0311815,99.12855246
87.0311815,99.0241947
87.0311815,98.91983694
87.0311815,98.81547917
87.0311815,98.71112141
87.0311815,98.60676365
87.0311815,98.50240589
87.0311815,98.39804812
87.0311815,98.29369036
87.0311815,98.1893326
87.0311815,98.08497483
87.0311815,97.98061707
87.0311815,97.87625931
87.0311815,97.77190155
87.0311815,97.66754378
87.0311815,97.56318602
87.0311815,97.45882826
87.0311815,97.35447049
91.19768829,99.96341457
91.19768829,99.65034128
91.19768829,99.54598351
91.19768829,99.44162575
91.19768829,99.33726799
91.19768829,99.23291023
91.19768829,99.12855246
91.19768829,99.0241947
91.19768829,98.91983694
91.19768829,98.81547917
91.19768829,98.71112141
91.19768829,98.60676365
91.19768829,98.50240589
91.19768829,98.39804812
91.19768829,98.29369036
91.19768829,98.1893326
91.19768829,98.08497483
91.19768829,97.98061707
91.19768829,97.87625931
91.19768829,97.77190155
91.19768829,97.66754378
91.19768829,97.56318602
91.19768829,97.45882826
95.36419509,99.96341457
95.36419509,99.54598351
95.36419509,99.44162575
95.36419509,99.33726799
95.36419509,99.23291023
95.36419509,99.12855246
95.36419509,99.0241947
95.36419509,98.91983694
95.36419509,98.81547917
95.36419509,98.71112141
95.36419509,98.60676365
95.36419509,98.50240589
95.36419509,98.39804812
95.36419509,98.29369036
95.36419509,98.1893326
95.36419509,98.08497483
95.36419509,97.98061707
95.36419509,97.87625931
95.36419509,97.77190155
95.36419509,97.66754378
95.36419509,97.56318602
99.53070188,99.96341457
99.53070188,99.54598351
99.53070188,99.44162575
99.53070188,99.33726799
99.53070188,99.23291023
99.53070188,99.12855246
99.53070188,99.0241947
99.53070188,98.91983694
99.53070188,98.81547917
99.53070188,98.71112141
99.53070188,98.60676365
99.53070188,98.50240589
99.53070188,98.39804812
99.53070188,98.29369036
99.53070188,98.1893326
99.53070188,98.08497483
99.53070188,97.98061707
99.53070188,97.87625931
99.53070188,97.77190155
